DATE TIME,SHIFT,DURATION (HH:MM),OEE,QUALITY,PERFORMANCE,AVAILABILITY,DOWNTIME (HH:MM),Downtime Hours,PRODUCT_COUNT,OK_QUANTITY,REJECTED_QUANTITY,RUN_TIME,Run Hours ,Cycle Time
09-07-2025 15:30,B,08:30:00,24.67,100.00,48.57,50.78,04:11:00,4.18,102,102,0,04:19:00,4.32,2.54
09-07-2025 07:00,A,08:30:00,25.14,100.00,47.14,53.33,03:58:00,3.97,99,99,0,04:32:00,4.53,2.75
08-07-2025 15:30,B,08:30:00,31.27,100.00,48.57,64.38,03:02:00,3.03,102,102,0,05:28:00,5.47,3.22
08-07-2025 07:00,A,08:30:00,10.99,100.00,25.24,43.53,04:48:00,4.80,53,53,0,03:42:00,3.70,4.19
07-07-2025 15:30,B,08:30:00,0.18,100.00,2.86,6.47,07:57:00,7.95,6,6,0,00:33:00,0.55,5.50
07-07-2025 07:00,A,08:30:00,7.86,100.00,21.90,35.88,05:27:00,5.45,46,46,0,03:03:00,3.05,3.98
06-07-2025 15:30,B,08:30:00,0.00,0.00,0.00,0.00,08:29:00,8.48,0,0,0,00:01:00,0.02,0.00
06-07-2025 07:00,A,08:30:00,0.00,0.00,0.00,0.00,08:30:00,8.50,0,0,0,00:00:00,0.00,0.00
05-07-2025 15:30,B,08:30:00,0.00,0.00,0.00,0.00,08:29:00,8.48,0,0,0,00:01:00,0.02,0.00
05-07-2025 07:00,A,08:30:00,0.00,0.00,0.00,0.00,08:30:00,8.50,0,0,0,00:00:00,0.00,0.00
04-07-2025 15:30,B,08:30:00,0.00,0.00,0.00,0.00,08:29:00,8.48,0,0,0,00:01:00,0.02,0.00
04-07-2025 07:00,A,08:30:00,0.00,0.00,0.00,0.00,08:27:00,8.45,0,0,0,00:03:00,0.05,0.00
03-07-2025 15:30,B,08:30:00,4.73,100.00,12.86,36.81,05:21:00,5.35,27,27,0,03:09:00,3.15,7.00
03-07-2025 07:00,A,08:30:00,0.29,100.00,2.86,10.20,07:38:00,7.63,6,6,0,00:52:00,0.87,8.67
02-07-2025 15:30,B,08:30:00,22.32,100.00,34.29,65.10,02:58:00,2.97,72,72,0,05:32:00,5.53,4.61
02-07-2025 07:00,A,08:30:00,4.47,100.00,13.33,33.53,05:39:00,5.65,28,28,0,02:51:00,2.85,6.11
01-07-2025 15:30,B,08:30:00,33.96,100.00,52.38,64.83,02:59:00,2.98,110,110,0,05:31:00,5.52,3.01
01-07-2025 07:00,A,08:30:00,13.97,100.00,27.14,51.47,04:07:00,4.12,57,57,0,04:23:00,4.38,4.61
30-06-2025 15:30,B,08:30:00,56.93,100.00,71.90,79.17,01:46:00,1.77,151,151,0,06:44:00,6.73,2.68
30-06-2025 07:00,A,08:30:00,10.01,100.00,23.33,42.91,04:50:00,4.83,49,49,0,03:40:00,3.67,4.49
29-06-2025 15:30,B,08:30:00,0.00,0.00,0.00,0.00,08:30:00,8.50,0,0,0,00:00:00,0.00,0.00
29-06-2025 07:00,A,08:30:00,0.00,0.00,0.00,0.00,08:30:00,8.50,0,0,0,00:00:00,0.00,0.00
28-06-2025 15:30,B,08:30:00,0.00,0.00,0.00,0.00,08:30:00,8.50,0,0,0,00:00:00,0.00,0.00
28-06-2025 07:00,A,08:30:00,1.73,100.00,10.00,17.25,07:02:00,7.03,21,21,0,01:28:00,1.47,4.19
27-06-2025 15:30,B,08:30:00,31.84,100.00,52.38,60.78,03:20:00,3.33,110,110,0,05:10:00,5.17,2.82
27-06-2025 07:00,A,08:30:00,46.50,100.00,60.00,77.50,01:55:00,1.92,126,126,0,06:35:00,6.58,3.13
26-06-2025 15:30,B,08:30:00,49.85,100.00,67.62,73.73,02:14:00,2.23,142,142,0,06:16:00,6.27,2.65
26-06-2025 07:00,A,08:30:00,34.31,100.00,50.00,68.63,02:40:00,2.67,105,105,0,05:50:00,5.83,3.33
25-06-2025 15:30,B,08:30:00,58.20,100.00,74.76,77.84,01:53:00,1.88,157,157,0,06:37:00,6.62,2.53
25-06-2025 07:00,A,08:30:00,22.31,100.00,38.57,57.84,03:35:00,3.58,81,81,0,04:55:00,4.92,3.64
24-06-2025 15:30,B,08:30:00,38.58,100.00,62.86,61.37,03:17:00,3.28,132,132,0,05:13:00,5.22,2.37
24-06-2025 07:00,A,08:30:00,1.97,100.00,10.48,18.83,06:41:00,6.68,22,22,0,01:49:00,1.82,4.95
23-06-2025 15:30,B,08:30:00,0.00,0.00,0.00,0.00,00:00:00,0.00,0,0,0,08:30:00,8.50,0.00
23-06-2025 07:00,A,08:30:00,0.00,0.00,0.00,0.00,00:00:00,0.00,0,0,0,08:30:00,8.50,0.00
,,,,,,,,,,,,,,
